Card Name,category,bank,total_reviews,numeric_ratings,average_rating,bayesian_score,eligible,eligible_rank
Axis Bank Myzone Credit card,Lifestyle,Axis Bank,75,20,4.7,3.9685024752475244,True,1
ICICI CORAL VISA CONTACTLESS,Lifestyle,ICICI,20,20,4.525,3.8810024752475245,True,2
SBI ELITE,Lifestyle,SBI,124,20,4.5,3.8685024752475243,True,3
CITIBANK PREMIERMILES,Travel,Citi Bank,20,20,4.45,3.8435024752475244,True,4
AXIS FLIPKART,Shopping,Axis Bank,85,20,4.425,3.8310024752475242,True,5
HDFC Bank Platinum Times,Lifestyle,HDFC Bank,20,20,4.375,3.8060024752475243,True,6
HDFC Bank Titanium Times,Lifestyle,HDFC Bank,20,20,4.325,3.7810024752475244,True,7
AXIS PRIVILEGE,Travel,Axis Bank,140,20,4.25,3.7435024752475243,True,8
Kotak Pvr Gold,Lifestyle,Kotak Bank,54,20,4.225,3.731002475247524,True,9
SBI Irctc Platinum,Travel,SBI,24,20,4.225,3.731002475247524,True,9
ICICI CORAL AMEX,Lifestyle,ICICI,76,20,4.2,3.7185024752475244,True,11
HDFC DINERS CLUB MILES,Travel,HDFC Bank,20,20,4.2,3.7185024752475244,True,11
ICICI CORAL VISA,Lifestyle,ICICI,20,20,4.2,3.7185024752475244,True,11
ICICI JET CORAL VISA,Travel,ICICI,20,20,4.2,3.7185024752475244,True,11
ICICI RUBYX AMEX,Lifestyle,ICICI,20,20,4.2,3.7185024752475244,True,11
ICICI RUBYX JET AIRWAYS VISA,Travel,ICICI,20,20,4.2,3.7185024752475244,True,11
ICICI RUBYX VISA,Lifestyle,ICICI,20,20,4.2,3.7185024752475244,True,11
ICICI SAPPHIRO AMEX,Lifestyle,ICICI,20,20,4.2,3.7185024752475244,True,11
ICICI SAPPHIRO VISA,Lifestyle + Travel,ICICI,20,20,4.2,3.7185024752475244,True,11
Kotak Pvr Platinum,Lifestyle,Kotak Bank,20,20,4.2,3.7185024752475244,True,11
HDFC REGALIA FIRST,Travel,HDFC Bank,194,20,4.175,3.7060024752475242,True,21
SBI AIR INDIA SIGNATURE,Travel,SBI,20,20,4.175,3.7060024752475242,True,21
HDFC Moneyback Credit Card,Rewards,HDFC Bank,294,20,4.15,3.6935024752475245,True,23
Axis Bank Platinum Credit card,Rewards,Axis Bank,20,20,4.125,3.6810024752475243,True,24
AXIS VISTARA,Travel,Axis Bank,20,20,4.1,3.668502475247524,True,25
HDFC Platinum Edge,Lifestyle,HDFC Bank,20,20,4.1,3.668502475247524,True,25
IndusInd Bank Platinum,Lifestyle,IndusInd Bank,20,20,4.075,3.6560024752475244,True,27
Kotak Royal Signature Credit Card,Lifestyle,Kotak Bank,111,20,4.05,3.6435024752475242,True,28
SBI AIR INDIA PLATINUM,Travel,SBI,20,20,3.975,3.606002475247524,True,29
Yes Prosperity Rewards Plus,Rewards,Yes Bank,20,20,3.875,3.5560024752475243,True,30
SBI PRIME,Lifestyle,SBI,665,20,3.7,3.4685024752475244,True,31
RBL Platinum Delight,Rewards,RBL,54,20,3.4,3.3185024752475245,True,32
IndusInd Platinum Aura Edge,Lifestyle,IndusInd Bank,96,20,3.225,3.231002475247524,True,33
SBI PLATINUM,Lifestyle,SBI,40,40,3.2,3.2123349834983497,True,34
RBL Platinum Maxima,Lifestyle,RBL,43,20,2.925,3.0810024752475247,True,35
HDFC REGALIA,Travel,HDFC Bank,366,78,2.7948717948717947,2.8851030511214386,True,36
HDFC DINERS CLUB BLACK,Lifestyle,HDFC Bank,688,57,2.6140350877192984,2.7758454416870255,True,37
SBI Simplyclick card,Rewards,SBI,338,146,2.578767123287671,2.658072885601813,True,38
Simply Save SBI Card,Rewards,SBI,393,312,2.4711538461538463,2.517289454849099,True,39
HSBC Visa Platinum,Lifestyle,HSBC,265,200,1.865,1.9897277227722772,True,40
HDFC JET PRIVILEGE,Travel,HDFC Bank,19,19,4.315789473684211,3.7625666412795122,False,
ICICI RUBYX MASTERCARD,Lifestyle,ICICI,19,19,4.2105263157894735,3.7112845899974607,False,
AXIS VISTARA SIGNATURE,Travel,Axis Bank,15,15,4.233333333333333,3.6640028288543136,False,
YES FIRST PREFERRED,Rewards,Yes Bank,9,9,4.611111111111111,3.663451689996586,False,
AXIS MILES AND MORE,Travel,Axis Bank,11,11,4.318181818181818,3.6206483551580964,False,
HDFC Freedom Credit Card,Rewards,HDFC Bank,48,8,4.5,3.597860678925035,False,
ICICI SAPPHIRO,Lifestyle,ICICI,4,4,4.75,3.4891707920792077,False,
HDFC Business Regalia,Lifestyle,HDFC Bank,40,3,4.666666666666667,3.423482565647869,False,
HDFC MILLENIA,Lifestyle + Travel,HDFC Bank,91,1,5.0,3.320957095709571,False,
HDFC JET PRIVILEGE DINERS CLUB,Travel,HDFC Bank,14,14,1.8571428571428572,2.668826441467676,False,
SC ULTIMATE,Rewards,Standard Chartered,906,0,,,False,
HDFC INFINIA,Lifestyle + Travel,HDFC Bank,574,0,,,False,
CITI PRESTIGE,Lifestyle,Citi Bank,284,0,,,False,
HDFC DINERS CLUBMILES,Travel,HDFC Bank,225,0,,,False,
AMAZON PAY ICICI CARD,Shopping,ICICI,222,0,,,False,
INDUSIND ICONIA AMEX,Lifestyle,IndusInd Bank,206,0,,,False,
AXIS VISTARA INFINITE,Travel,Axis Bank,143,0,,,False,
CITIBANK PREMIER MILES,Travel,Citi Bank,102,0,,,False,
SC MANHATTAN,Rewards,Standard Chartered,56,0,,,False,
